Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
1500,3,3,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,,12000000
1050,2,2,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,,9000000
975,3,2,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,,12000000
1100,2,2,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,114,Ready_to_move,Resale,Apartment,,10000000
950,2,2,Unfurnished,Vasundhara, East Delhi,Vasundhara Enclave,114,Ready_to_move,Resale,Apartment,,8100000
1300,3,3,Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,,9200000
1459,3,3,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,,14200000
1150,3,3,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,9655,12000000
780,2,2,Semi-Furnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,9655,7500000
1460,3,3,Unfurnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,9655,12000000
1100,2,2,Unfurnished,Vasundhara, East Delhi,Vasundhara Enclave,1,Ready_to_move,Resale,Apartment,9655,7200000
